127.0.0.1 - - [12/Jun/2021:11:02:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:02:49 +0900] "GET /Project02_1/map/map.jsp HTTP/1.1" 200 11484
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:02:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:04:48 +0900] "GET /Project02_1/map/map.jsp HTTP/1.1" 200 11462
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:05:25 +0900] "GET /Project02_1/14MVCBoard/Default.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:05:27 +0900] "GET /Project02_1/mvcboard/list.do HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:05:28 +0900] "GET /Project02_1/mvcboard/view.do?idx=2 HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:06:04 +0900] "GET /Project02_1/mvcboard/view.do?idx=2 HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:06:08 +0900] "GET /Project02_1/mvcboard/write.do HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:06:46 +0900] "POST /Project02_1/mvcboard/write.do HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:06:48 +0900] "GET /Project02_1/mvcboard/write.do HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:27:27 +0900] "GET /Project02_1/Login/Login.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:27:30 +0900] "POST /Project02_1/Login/LoginProcessMap.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:27:30 +0900] "GET /Project02_1/Login/Login.jsp HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:27:32 +0900] "GET /Project02_1/Login/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:11:27:32 +0900] "GET /Project02_1/Login/Login.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/css/style.css HTTP/1.1" 200 30793
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/logo.png HTTP/1.1" 200 20890
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/baby-with-dog.jpg HTTP/1.1" 200 107046
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/surfer.jpg HTTP/1.1" 200 66769
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/ballet-dancer.jpg HTTP/1.1" 200 59782
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/soldiers.jpg HTTP/1.1" 200 75476
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/conference.jpg HTTP/1.1" 200 31477
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/cinema.jpg HTTP/1.1" 200 28516
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/trainor.jpg HTTP/1.1" 200 20787
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/castle.jpg HTTP/1.1" 200 15615
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/lava.jpg HTTP/1.1" 200 23992
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/bg-header.png HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/bg-body.jpg HTTP/1.1" 200 27087
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/bg-footer.png HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/icons.png HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/images/interface.png HTTP/1.1" 200 7962
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:29 +0900] "GET /Project02_1/fonts/oswald-webfont.woff HTTP/1.1" 200 32404
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:09:52 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 5591
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:10:11 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:12:23 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:16:50 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6663
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:18:00 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6421
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:18:28 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6421
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:20:32 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6471
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:20:47 +0900] "GET /Project02_1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:20:48 +0900] "GET /Project02_1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:20:49 +0900] "GET /Project02_1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:21:00 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6472
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:22:27 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6567
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:25:23 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:25:24 +0900] "GET /Project02_1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:25:25 +0900] "GET /Project02_1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:25:27 +0900] "GET /Project02_1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:26:17 +0900] "GET /Project02_1/index.html HTTP/1.1" 200 6627
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:26:17 +0900] "GET /Project02_1/Login/Login.jsp HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:30:47 +0900] "GET /Project02_1/Login/LoginForm.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:32:14 +0900] "GET /Project02_1/Login/LoginForm.html HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:32:23 +0900] "POST /Project02_1/Login/LoginForm.html HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:33:03 +0900] "GET /Project02_1/Login/LoginForm.html HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [12/Jun/2021:14:33:30 +0900] "POST /Project02_1/Login/LoginForm.html HTTP/1.1" 200 1486
